EVGA GTX1060 6G SC ACX 2.0 1607-1835MHz/8008MHz 电脑吃鸡游戏独立显卡,EVGA Geforce GTX 1060显示卡是您高画质游戏体验的理想选择。由高端的游戏 GPU - Nvidia Pascal 组成，带您一同超越 VR 世界！,1200+,EVGA京东自营官...,2699.00,3350660
技嘉(GIGABYTE)GeForce GTX 1070Ti GAMING 1607MHz-1683MHz/8008MHz/8G/256bit绝地求生/吃鸡显卡,"【货源紧俏，紧急调拨】英伟达SHIELD 火热上市！体验PC游戏串流至电视大屏以及任天堂精选游戏！【点我】抢购SHIELD,送好礼！",3200+,技嘉京东自营官方旗...,4699.00,5492009
耕升 GeForce GTX1080Ti 追风 1531MHz/1645MHz/11Gbps 11GB 352bit 显卡,吃鸡精品！11G大显存容量，风扇智能停启！VR优化设计！性能卓越，全游戏直逼TITAN X！三年质保！超值新品1070TI,300+,耕升京东自营旗舰店,6999.00,4972166
耕升 GeForce GTX1070Ti 追风版 1607MHz/1683MHz/8008MHz 8GB GDDR5 显卡,,500+,耕升京东自营旗舰店,4499.00,5560653
EVGA GTX1080Ti 11G SC2 GAMING iCX 1556-1670MHz/11000MHz 电脑吃鸡游戏独立显卡,EVGA GeForce GTX 1080 Ti 显卡选择使用 iCX 技术构建，与 iCX 散热进行动态互动式沟通并监控温度，为您提供无忧虑的战游环境。,200+,EVGA京东自营官...,7099.00,4946528
EVGA GTX1080Ti 11G FTW3 GAMING iCX 1569-1683MHz/11000MHz 电脑吃鸡游戏独立显卡,EVGA GeForce GTX 1080 Ti 显卡选择使用 iCX 技术构建，与 iCX 散热进行动态互动式沟通并监控温度，为您提供无忧虑的战游环境。,300+,EVGA京东自营官...,7299.00,4208093
EVGA GTX1080 SC ACX 3.0 white LED 1708-1847MHz/10000MHz 电脑吃鸡游戏独立显卡,“十”破天惊新设计，背板支持+白光LED，搭配EVGA新一代超频软件，让玩家享受每一个游戏时刻！,400+,EVGA京东自营官...,4899.00,3122548
耕升 GeForce GTX1050Ti 追风 V3 1290MHz/1392MHz/7008MHz 4G/128bit GDDR5 显卡,性能甜点，超强散热！同德良心力作，性价比耐用之选！加一点上烈风！,500+,耕升京东自营旗舰店,1499.00,4606163
微星 MSI GTX 1080 GAMING X 8G 256BIT GDDR5X PCI-E 3.0 旗舰红龙 吃鸡显卡,"酷炫RGB龙魂灯,碳纤维铝制合金强化背板,零噪智能风扇散热技术,非公8+2强化供电设计,三重闪电散热,畅玩游戏盛宴!升级高规1080Ti红龙",1200+,微星京东自营旗舰店,5199.00,2896113
索泰（ZOTAC）GeForce GTX1070-8GD5至尊PLUS OC 绝地求生/吃鸡显卡 1594-1784/8058MHz 8G/256bit,"次旗舰也牛B! 升级RGB-LED炫彩灯光, 10相供电,3D-STORM背板风扇! 轻松玩转4K游戏!★职业吃鸡战队推荐Ti厉害★",8500+,索泰京东自营旗舰店,3999.00,2921927
索泰（ZOTAC）GeForce GTX1070Ti-8GD5至尊PLUS 绝地求生/吃鸡显卡 1607-1683/8008MHz 8G/256bit,"要吃鸡,当然就用吃鸡显卡!一键超频释放显卡潜能,助您实力吃鸡!环绕4风扇散热!★吃鸡职业选手推荐使用★",3400+,索泰京东自营旗舰店,4599.00,5536557
英伟达（NVIDIA）TITAN Xp 显卡,满血新旗舰，实力信仰充值！【即刻买NVIDIA SHIELD送双重惊喜】,2000+,,9699.00,4128703
