中级Python工程师,成都·高新区,10k-15k,经验3-5年 / 本科,BBD,"电子商务,数据服务 / C轮","“五险一金,技术大牛,大数据,加班补贴”","软件开发, 大数据, Java",https://www.lagou.com/jobs/3834707.html
Python开发工程师,北京·三里屯,18k-25k,经验1-3年 / 本科,天下秀,"移动互联网,广告营销 / C轮","“团队氛围好,五险一金,节日福利”","云计算, 中级",https://www.lagou.com/jobs/4166097.html
高级Python开发工程师,深圳·科技园,16k-22k,经验3-5年 / 本科,明源云,"移动互联网,企业服务 / 上市公司",“技术导向，牛人多，氛围赞，扁平管理”,"PHP, 大数据, Java, hadoop",https://www.lagou.com/jobs/4120372.html
Python研发工程师,杭州·西溪,15k-23k,经验1-3年 / 本科,酷家乐,移动互联网 / D轮及以上,“期权激励、年度旅游、年终丰厚、零食水果”,"后端开发, Java, 系统开发, golang",https://www.lagou.com/jobs/3712940.html
高级Python研发工程师,北京·四惠,25k-35k,经验3-5年 / 本科,掌阅,移动互联网 / 不需要融资,"“扁平化管理,福利待遇佳,学习氛围好,晋升空间大”","云计算, Java, 架构",https://www.lagou.com/jobs/2704328.html
Python开发工程师,深圳·科技园,15k-30k,经验1-3年 / 本科,Shopee,电子商务 / 上市公司,“东南亚跨境电商平台、福利棒、美女多”,"后端开发, 全栈, MySQL",https://www.lagou.com/jobs/2614417.html
Python开发工程师,北京·朝阳区,15k-30k,经验5-10年 / 本科,美利金融,"移动互联网,金融 / A轮","“大牛团队,年底绩效”","php, Java, MySQL",https://www.lagou.com/jobs/4252110.html
python工程师,北京·海淀区,15k-30k,经验3-5年 / 本科,Face++,"移动互联网,硬件 / C轮",“平台好；福利多”,"后端开发, 后端, 爬虫, 测试平台",https://www.lagou.com/jobs/3940038.html
Python工程师,北京·海淀区,20k-40k,经验1-3年 / 本科,Face++,"移动互联网,硬件 / C轮","“技术驱动,极客氛围,大牛团队”","中级, 后端, django",https://www.lagou.com/jobs/3093928.html
Python工程师,北京·海淀区,20k-40k,经验1-3年 / 本科,Face++,"移动互联网,硬件 / C轮","“技术驱动,极客氛围,大牛团队”","中级, 后端, django",https://www.lagou.com/jobs/3093928.html
Python 开发工程师,北京·酒仙桥,25k-35k,经验3-5年 / 本科,360,"移动互联网,游戏 / 上市公司",“五险一金 补充医疗 免费三餐和班车”,"C++, Go",https://www.lagou.com/jobs/4022085.html
Python开发工程师（上海）,上海·东外滩,15k-30k,经验不限 / 本科,平安科技,金融 / 不需要融资,“世界50强 节日福利 绩效丰厚”,"大数据, 数据挖掘",https://www.lagou.com/jobs/4184905.html
Python开发工程师（上海）,上海·东外滩,15k-30k,经验不限 / 本科,平安科技,金融 / 不需要融资,“世界50强 节日福利 绩效丰厚”,"大数据, 数据挖掘",https://www.lagou.com/jobs/4184905.html
Python开发工程师,成都·武侯区,9k-16k,经验3-5年 / 本科,顺网科技,"游戏,文化娱乐 / 上市公司","“上市公司,大数据,大平台,福利健全”","游戏, 直播, 中级, Java, 后端",https://www.lagou.com/jobs/4234719.html
Python开发工程师,深圳·南头,10k-20k,经验1-3年 / 本科,极光,"移动互联网,数据服务 / D轮及以上",“五险一金、14薪/年、下午茶、工作餐等等”,云计算,https://www.lagou.com/jobs/907162.html
